Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10991,13,No Different than U.S. National Rate,10.1,16.7,245,19.9,No Different than U.S. National Rate,16.6,23.7,263
10992,15,No Different than U.S. National Rate,11.7,19.2,205,19.2,No Different than U.S. National Rate,15.8,23.1,203
10993,15.2,Worse than U.S. National Rate,12.2,18.8,345,16.2,No Different than U.S. National Rate,13.5,19.2,349
10994,13.2,No Different than U.S. National Rate,10.2,17,196,18.9,No Different than U.S. National Rate,15.6,23,189
10995,13.5,No Different than U.S. National Rate,10.1,17.8,116,19.5,No Different than U.S. National Rate,15.6,24,120
10996,10.7,No Different than U.S. National Rate,8.2,14.2,244,20.1,No Different than U.S. National Rate,16.9,23.7,270
10997,13.3,No Different than U.S. National Rate,10,17.6,149,18.7,No Different than U.S. National Rate,15.2,22.8,151
10998,10.4,No Different than U.S. National Rate,7.5,13.8,128,19.5,No Different than U.S. National Rate,15.9,23.6,149
10999,14.9,No Different than U.S. National Rate,11.5,19.2,196,20,No Different than U.S. National Rate,16.4,23.9,199
11000,15.4,No Different than U.S. National Rate,10.9,21.3,65,17,No Different than U.S. National Rate,13.3,21.8,63
11001,13.4,No Different than U.S. National Rate,10.7,16.9,308,17.9,No Different than U.S. National Rate,15,21.2,320
11002,10.2,No Different than U.S. National Rate,8,12.8,339,19.1,No Different than U.S. National Rate,16.1,22.5,347
11003,9.8,No Different than U.S. National Rate,7,13.5,158,17.4,No Different than U.S. National Rate,13.8,21.6,161
11004,13,No Different than U.S. National Rate,10.5,15.9,355,17.3,No Different than U.S. National Rate,14.5,20.5,372
11005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Number of Cases Too Small,Not Available,Not Available,1
11006,14.3,No Different than U.S. National Rate,10.6,18.9,119,19,No Different than U.S. National Rate,15.1,23.4,126
11007,11.1,No Different than U.S. National Rate,8.2,14.7,108,17.7,No Different than U.S. National Rate,14.1,22.1,115
11008,15.1,No Different than U.S. National Rate,10.9,20.8,65,18.4,No Different than U.S. National Rate,14.4,22.9,67
