Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
13994,10.3,No Different than U.S. National Rate,8.3,12.7,478,18.5,No Different than U.S. National Rate,15.9,21.2,496
13995,12.1,No Different than U.S. National Rate,8.3,17.5,45,19.4,No Different than U.S. National Rate,15.2,24.5,52
13996,12.3,No Different than U.S. National Rate,8.7,17.2,59,18.8,No Different than U.S. National Rate,14.8,23.4,63
13997,14.5,No Different than U.S. National Rate,10.9,19.1,122,17.7,No Different than U.S. National Rate,14.2,21.7,121
13998,13.4,No Different than U.S. National Rate,9.4,18.5,45,17.5,No Different than U.S. National Rate,13.4,22.4,41
13999,10.2,No Different than U.S. National Rate,7.4,13.7,89,20.8,No Different than U.S. National Rate,16.9,25,96
14000,13.3,No Different than U.S. National Rate,9.9,17.7,156,17.8,No Different than U.S. National Rate,14.4,21.7,159
14001,11.1,No Different than U.S. National Rate,7.4,16,32,18.8,No Different than U.S. National Rate,14.6,23.9,34
14002,14.1,No Different than U.S. National Rate,11.5,17.1,395,18.1,No Different than U.S. National Rate,15.4,21.1,442
14003,13.2,No Different than U.S. National Rate,10.6,16.4,246,18,No Different than U.S. National Rate,15,21.5,247
14004,11.7,No Different than U.S. National Rate,9.1,14.7,291,18.8,No Different than U.S. National Rate,15.8,22.2,312
14005,16.5,Worse than U.S. National Rate,14.2,19.2,604,18.2,No Different than U.S. National Rate,15.8,20.9,646
14006,9.6,No Different than U.S. National Rate,7.2,12.7,218,17.7,No Different than U.S. National Rate,14.6,21.2,235
14007,8.9,No Different than U.S. National Rate,6.4,12.3,172,19.5,No Different than U.S. National Rate,16,23.5,195
14008,11,No Different than U.S. National Rate,8.3,14.3,183,16.8,No Different than U.S. National Rate,13.7,20.5,195
14009,10.4,No Different than U.S. National Rate,8.2,13.2,436,18.2,No Different than U.S. National Rate,15.5,21.1,468
14010,8.3,Better than U.S. National Rate,6.8,10.1,781,16.9,No Different than U.S. National Rate,14.9,19.2,831
14011,10.7,No Different than U.S. National Rate,7.7,15.2,120,17.7,No Different than U.S. National Rate,14,22.2,125
14012,10.1,No Different than U.S. National Rate,7.3,13.8,118,18.5,No Different than U.S. National Rate,14.9,22.7,124
14013,13.6,No Different than U.S. National Rate,10.8,17,296,17.7,No Different than U.S. National Rate,14.8,21.3,303
14014,10.7,No Different than U.S. National Rate,7.7,14.7,101,18.8,No Different than U.S. National Rate,15.2,23.2,114
14015,10.5,No Different than U.S. National Rate,7.5,14.3,88,18.1,No Different than U.S. National Rate,14.6,22.2,97
14016,11.3,No Different than U.S. National Rate,10,12.8,1402,17,No Different than U.S. National Rate,15.2,18.8,1463
14017,10.1,No Different than U.S. National Rate,8.1,12.6,464,18.1,No Different than U.S. National Rate,15.5,21.1,492
14018,12.1,No Different than U.S. National Rate,9.2,15.7,223,17,No Different than U.S. National Rate,14,20.4,233
14019,13.6,No Different than U.S. National Rate,9.8,18.2,67,18,No Different than U.S. National Rate,14.4,22.3,89
14020,9.1,No Different than U.S. National Rate,6.8,12.3,254,20.9,No Different than U.S. National Rate,17.5,24.9,285
14021,15.5,Worse than U.S. National Rate,12.9,18.6,360,17.3,No Different than U.S. National Rate,14.6,20.5,356
14022,10.9,No Different than U.S. National Rate,8,14.4,147,18.5,No Different than U.S. National Rate,14.9,22.7,157
14023,11,No Different than U.S. National Rate,8.3,14.4,185,17.5,No Different than U.S. National Rate,14.3,21.3,207
14024,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14025,11.2,No Different than U.S. National Rate,9.1,13.7,414,18.1,No Different than U.S. National Rate,15.5,21.1,426
14026,11.8,No Different than U.S. National Rate,9.5,14.5,435,17.7,No Different than U.S. National Rate,15.2,20.8,461
14027,12.1,No Different than U.S. National Rate,8.7,16.5,91,20,No Different than U.S. National Rate,16.1,24.8,98
14028,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14029,12.6,No Different than U.S. National Rate,9.8,16.3,202,18.5,No Different than U.S. National Rate,15.2,22.4,214
14030,10.6,No Different than U.S. National Rate,7.6,14.4,130,16.6,No Different than U.S. National Rate,13.1,20.8,142
14031,11.9,No Different than U.S. National Rate,8.9,15.8,113,19.3,No Different than U.S. National Rate,15.4,23.8,113
14032,11.9,No Different than U.S. National Rate,9.9,14.1,638,16.2,No Different than U.S. National Rate,14,19.1,657
14033,15.2,No Different than U.S. National Rate,11.8,19.4,150,19.7,No Different than U.S. National Rate,16.2,23.8,150
14034,12.9,No Different than U.S. National Rate,10.8,15.3,513,18.9,No Different than U.S. National Rate,16.4,21.7,552
14035,12.4,No Different than U.S. National Rate,9.2,16.3,114,21.1,No Different than U.S. National Rate,17,25.7,122
14036,14.2,No Different than U.S. National Rate,11.2,17.9,242,20.5,No Different than U.S. National Rate,17,24.3,250
14037,Not Available,Number of Cases Too Small,Not Available,Not Available,4,Not Available,Number of Cases Too Small,Not Available,Not Available,4
14038,12.9,No Different than U.S. National Rate,9,17.8,60,17.9,No Different than U.S. National Rate,14,22.5,62
14039,10.1,No Different than U.S. National Rate,7.3,13.8,187,17,No Different than U.S. National Rate,13.8,20.6,222
14040,15.7,No Different than U.S. National Rate,11.9,20.3,115,18,No Different than U.S. National Rate,14.3,22.3,117
14041,10.9,No Different than U.S. National Rate,8.6,14,336,22.1,No Different than U.S. National Rate,18.5,25.7,369
14042,10.7,No Different than U.S. National Rate,8,14.1,212,18,No Different than U.S. National Rate,14.7,21.7,218
14043,13,No Different than U.S. National Rate,10.2,16.4,203,19.2,No Different than U.S. National Rate,16,23.3,200
14044,14.7,No Different than U.S. National Rate,11.5,18.6,217,19.9,No Different than U.S. National Rate,16.2,23.8,232
14045,15,No Different than U.S. National Rate,12,18.7,293,18.5,No Different than U.S. National Rate,15.5,21.9,294
14046,10,No Different than U.S. National Rate,7.9,12.6,397,19.4,No Different than U.S. National Rate,16.4,22.5,420
14047,11.8,No Different than U.S. National Rate,8.3,15.9,127,17.6,No Different than U.S. National Rate,14.1,21.7,158
14048,10.2,No Different than U.S. National Rate,8.1,12.8,477,15.8,No Different than U.S. National Rate,13.4,18.7,518
14049,11.8,No Different than U.S. National Rate,8.9,15.5,217,17,No Different than U.S. National Rate,13.9,20.5,221
14050,11.6,No Different than U.S. National Rate,8.2,16,26,17.6,No Different than U.S. National Rate,13.7,22.8,28
14051,12.3,No Different than U.S. National Rate,9.3,16,160,19.9,No Different than U.S. National Rate,16.2,24.3,160
14052,13.2,No Different than U.S. National Rate,9.7,17.6,86,16.2,No Different than U.S. National Rate,12.7,20.7,86
14053,9.7,No Different than U.S. National Rate,7,13.3,110,18,No Different than U.S. National Rate,14.5,22.1,128
14054,13.2,No Different than U.S. National Rate,10.7,16.1,375,17,No Different than U.S. National Rate,14.5,19.9,392
14055,12.1,No Different than U.S. National Rate,9,16.1,137,17.2,No Different than U.S. National Rate,13.9,21.3,147
14056,15.1,No Different than U.S. National Rate,11.7,19.2,175,14.6,No Different than U.S. National Rate,11.6,18.6,169
14057,13.3,No Different than U.S. National Rate,10.3,17,208,18.4,No Different than U.S. National Rate,15.2,22.1,208
14058,10.9,No Different than U.S. National Rate,8.5,14,284,16.9,No Different than U.S. National Rate,13.9,20.2,310
14059,10.4,No Different than U.S. National Rate,7.1,14.9,70,18,No Different than U.S. National Rate,14.1,22.9,69
14060,12.6,No Different than U.S. National Rate,9.3,16.8,174,18.8,No Different than U.S. National Rate,15.4,22.8,185
14061,9.5,Better than U.S. National Rate,7.7,11.7,488,14.4,Better than U.S. National Rate,12.1,17.4,503
14062,11,No Different than U.S. National Rate,8.4,14.2,178,18.2,No Different than U.S. National Rate,14.7,22.4,181
14063,11.5,No Different than U.S. National Rate,9.4,13.9,534,17.9,No Different than U.S. National Rate,15.4,20.5,557
14064,14.4,No Different than U.S. National Rate,10.8,18.8,103,21.6,No Different than U.S. National Rate,17.2,26.7,98
14065,10.4,No Different than U.S. National Rate,7.7,13.8,89,19.3,No Different than U.S. National Rate,15.6,23.4,95
14066,10.5,No Different than U.S. National Rate,8.5,12.9,443,19.1,No Different than U.S. National Rate,16.5,22.1,470
14067,10.7,No Different than U.S. National Rate,8.4,13.6,323,17.2,No Different than U.S. National Rate,14.5,20.3,323
14068,11.7,No Different than U.S. National Rate,9.3,14.4,422,18,No Different than U.S. National Rate,15.3,20.9,450
14069,11.3,No Different than U.S. National Rate,7.4,16.8,37,18.4,No Different than U.S. National Rate,14.3,23.3,43
14070,10.4,No Different than U.S. National Rate,7.3,14.6,134,17.4,No Different than U.S. National Rate,14,21.5,148
14071,10.4,No Different than U.S. National Rate,7.9,13.7,215,18.8,No Different than U.S. National Rate,15.7,22.8,217
14072,10.7,No Different than U.S. National Rate,8.1,13.9,192,18.4,No Different than U.S. National Rate,15.1,21.9,200
14073,9.7,No Different than U.S. National Rate,7.6,12.3,323,18.6,No Different than U.S. National Rate,15.7,21.8,331
14074,13.8,No Different than U.S. National Rate,11,16.9,282,18,No Different than U.S. National Rate,14.8,21.5,291
14075,13.9,No Different than U.S. National Rate,10.6,17.7,150,17.2,No Different than U.S. National Rate,13.7,21.3,152
14076,11.5,No Different than U.S. National Rate,9,14.5,327,20.1,No Different than U.S. National Rate,17.1,23.4,357
14077,12.1,No Different than U.S. National Rate,9.3,15.5,225,18.1,No Different than U.S. National Rate,14.8,21.9,232
14078,10.5,No Different than U.S. National Rate,7.6,14.2,98,16.9,No Different than U.S. National Rate,13.6,20.9,108
14079,9,No Different than U.S. National Rate,6.6,12.2,118,17.6,No Different than U.S. National Rate,14.2,21.3,122
14080,13.4,No Different than U.S. National Rate,9.7,18.6,112,18.3,No Different than U.S. National Rate,14.5,22.8,125
14081,10.8,No Different than U.S. National Rate,8.6,13.4,332,18.3,No Different than U.S. National Rate,15.5,21.4,359
14082,11.9,No Different than U.S. National Rate,9.6,14.7,368,19,No Different than U.S. National Rate,16,22.2,362
14083,11.6,No Different than U.S. National Rate,8.8,15.1,214,20,No Different than U.S. National Rate,16.7,23.7,238
14084,12.9,No Different than U.S. National Rate,10.4,15.8,397,24.3,Worse than U.S. National Rate,20.6,27.8,459
14085,8.7,Better than U.S. National Rate,7,10.6,515,16,No Different than U.S. National Rate,13.8,18.6,539
14086,10.6,No Different than U.S. National Rate,8.2,13.4,271,19.8,No Different than U.S. National Rate,16.9,23.3,286
14087,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14088,11.9,No Different than U.S. National Rate,9.5,14.8,274,20,No Different than U.S. National Rate,16.8,23.4,276
14089,10.3,No Different than U.S. National Rate,8,13.1,343,18.8,No Different than U.S. National Rate,15.9,21.8,369
14090,10.8,No Different than U.S. National Rate,8.5,13.6,302,15.6,No Different than U.S. National Rate,12.9,18.8,314
14091,15.3,No Different than U.S. National Rate,11.5,20,84,19.1,No Different than U.S. National Rate,15.4,23.4,86
14092,11.8,No Different than U.S. National Rate,9.4,14.7,305,16.7,No Different than U.S. National Rate,13.9,20,310
14093,9.6,No Different than U.S. National Rate,7.5,12.1,352,20.3,No Different than U.S. National Rate,17.3,23.7,383
14094,12.9,No Different than U.S. National Rate,9.5,17.4,98,21,No Different than U.S. National Rate,16.9,25.4,106
14095,7.3,Better than U.S. National Rate,5.2,10.1,238,17.4,No Different than U.S. National Rate,14.5,20.8,281
14096,10.1,No Different than U.S. National Rate,7.6,13.2,111,17.3,No Different than U.S. National Rate,13.8,21.3,125
14097,10.3,No Different than U.S. National Rate,7.4,14.2,126,17.7,No Different than U.S. National Rate,14.4,21.3,132
14098,12.9,No Different than U.S. National Rate,9.2,17.8,78,17.3,No Different than U.S. National Rate,13.5,21.6,92
14099,10.8,No Different than U.S. National Rate,8.1,14.3,182,16.1,No Different than U.S. National Rate,13.1,19.8,190
14100,14.5,No Different than U.S. National Rate,11.3,18.6,192,17.9,No Different than U.S. National Rate,14.7,21.6,191
14101,10.8,No Different than U.S. National Rate,9,12.9,522,15.3,Better than U.S. National Rate,13.1,18,525
14102,15.1,Worse than U.S. National Rate,12.4,18.1,454,18,No Different than U.S. National Rate,15.4,21,442
14103,10.9,No Different than U.S. National Rate,8.2,14.4,174,18.8,No Different than U.S. National Rate,15.4,22.4,184
14104,11.8,No Different than U.S. National Rate,9.2,15.1,236,16.9,No Different than U.S. National Rate,13.9,20.3,254
14105,12.9,No Different than U.S. National Rate,10.5,15.8,343,16.9,No Different than U.S. National Rate,14.2,19.9,368
14106,10.9,No Different than U.S. National Rate,8,14.6,124,17.4,No Different than U.S. National Rate,14.2,21.3,135
14107,16.2,Worse than U.S. National Rate,13.1,20,260,19.4,No Different than U.S. National Rate,16.2,23,270
14108,11.3,No Different than U.S. National Rate,9.1,13.9,436,19.8,No Different than U.S. National Rate,17.2,23,454
14109,11.2,No Different than U.S. National Rate,7.4,16.6,25,17.4,No Different than U.S. National Rate,13.4,22.5,25
14110,12.9,No Different than U.S. National Rate,10.2,16.1,258,19.2,No Different than U.S. National Rate,15.9,23.1,258
14111,11.3,No Different than U.S. National Rate,8.1,15.7,58,18.9,No Different than U.S. National Rate,14.9,23.5,62
14112,14,No Different than U.S. National Rate,11.4,17.1,432,25.6,Worse than U.S. National Rate,21.8,29.3,463
14113,9.4,No Different than U.S. National Rate,6.8,13,159,18.8,No Different than U.S. National Rate,15.4,22.7,173
14114,11.2,No Different than U.S. National Rate,8.1,15.4,90,19,No Different than U.S. National Rate,15.1,23.5,101
14115,Not Available,Number of Cases Too Small,Not Available,Not Available,9,Not Available,Number of Cases Too Small,Not Available,Not Available,9
14116,Not Available,Number of Cases Too Small,Not Available,Not Available,4,Not Available,Number of Cases Too Small,Not Available,Not Available,3
14117,10,No Different than U.S. National Rate,7.8,12.7,295,18.2,No Different than U.S. National Rate,15.5,21.5,311
14118,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14119,12.2,No Different than U.S. National Rate,9.5,15.8,274,17.5,No Different than U.S. National Rate,14.6,20.7,287
14120,11.2,No Different than U.S. National Rate,8.8,14,321,17.2,No Different than U.S. National Rate,14.3,20.6,338
14121,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14122,11.6,No Different than U.S. National Rate,9.4,14.1,496,18.6,No Different than U.S. National Rate,16,21.4,534
14123,Not Available,Number of Cases Too Small,Not Available,Not Available,19,Not Available,Number of Cases Too Small,Not Available,Not Available,20
14124,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14125,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14126,9.8,Better than U.S. National Rate,8.2,11.6,678,17.1,No Different than U.S. National Rate,14.9,19.6,782
14127,9.6,No Different than U.S. National Rate,6.9,12.8,85,16.9,No Different than U.S. National Rate,13.6,21.3,87
14128,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14129,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14130,10.6,No Different than U.S. National Rate,8.4,13.4,357,18.8,No Different than U.S. National Rate,15.9,22.1,375
14131,Not Available,Number of Cases Too Small,Not Available,Not Available,8,Not Available,Number of Cases Too Small,Not Available,Not Available,8
14132,8.7,Better than U.S. National Rate,6.7,11.3,303,16.4,No Different than U.S. National Rate,13.9,19.7,335
14133,11.7,No Different than U.S. National Rate,8.1,16.7,54,16.5,No Different than U.S. National Rate,12.9,21.1,59
14134,Not Available,Number of Cases Too Small,Not Available,Not Available,5,Not Available,Number of Cases Too Small,Not Available,Not Available,5
14135,10.1,No Different than U.S. National Rate,7.1,14.2,103,17.7,No Different than U.S. National Rate,14.1,22.1,110
14136,11.7,No Different than U.S. National Rate,9.2,14.8,285,19.8,No Different than U.S. National Rate,16.8,23.2,321
14137,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14138,14,No Different than U.S. National Rate,10.8,17.9,187,19.3,No Different than U.S. National Rate,16,23.1,204
14139,12.7,No Different than U.S. National Rate,9.7,16.2,175,20.1,No Different than U.S. National Rate,16.4,24.2,190
14140,Not Available,Number of Cases Too Small,Not Available,Not Available,10,Not Available,Number of Cases Too Small,Not Available,Not Available,9
14141,12.9,No Different than U.S. National Rate,9.8,16.9,158,18.4,No Different than U.S. National Rate,14.9,22.6,158
14142,10.7,No Different than U.S. National Rate,7.2,15.6,44,19,No Different than U.S. National Rate,14.9,24.2,48
14143,12.6,No Different than U.S. National Rate,10.1,15.8,257,16.6,No Different than U.S. National Rate,13.9,20.2,258
14144,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14145,13.1,No Different than U.S. National Rate,10.6,16.2,332,18.1,No Different than U.S. National Rate,15.4,21.2,341
14146,12.5,No Different than U.S. National Rate,9.1,17.2,97,15.8,No Different than U.S. National Rate,12.5,20,105
14147,Not Available,Number of Cases Too Small,Not Available,Not Available,5,Not Available,Number of Cases Too Small,Not Available,Not Available,5
14148,Not Available,Number of Cases Too Small,Not Available,Not Available,6,Not Available,Number of Cases Too Small,Not Available,Not Available,7
14149,10.8,No Different than U.S. National Rate,8.4,13.7,282,17.7,No Different than U.S. National Rate,14.9,21,307
14150,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14151,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14152,11.9,No Different than U.S. National Rate,8.9,15.4,213,17.1,No Different than U.S. National Rate,14,20.6,227
14153,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14154,10.4,No Different than U.S. National Rate,6.8,15.7,35,18.6,No Different than U.S. National Rate,14.5,23.6,37
14155,9.4,No Different than U.S. National Rate,6.7,12.9,170,18.2,No Different than U.S. National Rate,14.7,22,195
14156,10.2,No Different than U.S. National Rate,8.1,12.8,329,16.8,No Different than U.S. National Rate,14.2,20,324
14157,11.9,No Different than U.S. National Rate,9.5,14.8,390,17.5,No Different than U.S. National Rate,14.9,20.5,430
14158,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14159,Not Available,Number of Cases Too Small,Not Available,Not Available,12,Not Available,Number of Cases Too Small,Not Available,Not Available,12
14160,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14162,11.1,No Different than U.S. National Rate,8.1,15.2,168,18,No Different than U.S. National Rate,14.8,21.8,194
14163,10.3,No Different than U.S. National Rate,7.6,13.8,127,18.2,No Different than U.S. National Rate,14.5,22.6,130
14164,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14165,Not Available,Number of Cases Too Small,Not Available,Not Available,2,Not Available,Number of Cases Too Small,Not Available,Not Available,2
14166,11.2,No Different than U.S. National Rate,8,15.2,55,18.3,No Different than U.S. National Rate,14.4,22.6,56
14167,13.5,No Different than U.S. National Rate,10,17.7,124,17.9,No Different than U.S. National Rate,14.3,22.4,120
14168,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14169,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14170,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14171,11.3,No Different than U.S. National Rate,8.9,14.4,289,16.8,No Different than U.S. National Rate,14,20,295
14172,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14173,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14175,11.6,No Different than U.S. National Rate,9.3,14.3,421,19.3,No Different than U.S. National Rate,16.4,22.4,477
14176,Not Available,Number of Cases Too Small,Not Available,Not Available,14,Not Available,Number of Cases Too Small,Not Available,Not Available,16
14177,16.9,Worse than U.S. National Rate,12.5,22.7,76,19.3,No Different than U.S. National Rate,15.2,23.7,77
14178,17.1,Worse than U.S. National Rate,12.7,22.3,78,18.2,No Different than U.S. National Rate,14.4,22.6,85
14179,12.9,No Different than U.S. National Rate,8.9,18,57,18.3,No Different than U.S. National Rate,14.2,23.1,55
14180,10.5,No Different than U.S. National Rate,7.2,14.9,60,16.9,No Different than U.S. National Rate,13.3,21.4,73
14181,Not Available,Number of Cases Too Small,Not Available,Not Available,15,Not Available,Number of Cases Too Small,Not Available,Not Available,14
14182,17,Worse than U.S. National Rate,12.7,22.6,67,17.5,No Different than U.S. National Rate,13.7,22,69
14183,11.8,No Different than U.S. National Rate,7.8,17.3,33,18.1,No Different than U.S. National Rate,13.9,23.1,32
14184,Not Available,Number of Cases Too Small,Not Available,Not Available,12,Not Available,Number of Cases Too Small,Not Available,Not Available,11
14185,13.1,No Different than U.S. National Rate,9.3,18.2,85,20.6,No Different than U.S. National Rate,16.2,25.8,83
14186,14.1,No Different than U.S. National Rate,10.3,19.1,111,19,No Different than U.S. National Rate,15.1,23.6,108
14187,10.8,No Different than U.S. National Rate,6.9,16.5,27,17.8,No Different than U.S. National Rate,13.7,22.9,28
14188,12.8,No Different than U.S. National Rate,9.2,17.5,67,20.6,No Different than U.S. National Rate,16.3,25.5,70
14189,14,No Different than U.S. National Rate,9.9,19,61,17.7,No Different than U.S. National Rate,13.6,22.5,60
14190,9.7,No Different than U.S. National Rate,7,13.3,136,16.9,No Different than U.S. National Rate,13.8,20.8,159
14191,12.3,No Different than U.S. National Rate,8.9,16.9,64,18.4,No Different than U.S. National Rate,14.3,23.3,71
14192,11.4,No Different than U.S. National Rate,7.9,15.8,52,17.7,No Different than U.S. National Rate,13.9,22.4,52
14193,10.8,No Different than U.S. National Rate,7.4,15.6,51,19.2,No Different than U.S. National Rate,15.1,24.1,56
14194,10.5,No Different than U.S. National Rate,7.7,14.3,150,17.4,No Different than U.S. National Rate,14,21.5,167
14195,13.6,No Different than U.S. National Rate,9.4,18.9,50,17.6,No Different than U.S. National Rate,13.5,22.5,48
14196,12.8,No Different than U.S. National Rate,9.5,17.2,105,18.5,No Different than U.S. National Rate,14.6,23,110
14197,10.1,No Different than U.S. National Rate,6.9,14.6,93,17.1,No Different than U.S. National Rate,13.6,21.6,101
14198,11.2,No Different than U.S. National Rate,7.6,16.4,44,18,No Different than U.S. National Rate,14,23,46
14199,12.8,No Different than U.S. National Rate,9.4,17.1,127,17.2,No Different than U.S. National Rate,13.8,21.3,126
14200,16.8,Worse than U.S. National Rate,12.7,21.9,136,18.6,No Different than U.S. National Rate,15,23,142
14201,11.5,No Different than U.S. National Rate,7.9,16.5,52,18.6,No Different than U.S. National Rate,14.5,23.5,50
14202,11.9,No Different than U.S. National Rate,8.3,16.6,34,17.9,No Different than U.S. National Rate,13.8,22.9,34
14203,12.2,No Different than U.S. National Rate,8.7,16.7,135,17.4,No Different than U.S. National Rate,13.8,21.7,134
14204,12.3,No Different than U.S. National Rate,8.8,16.8,64,19.6,No Different than U.S. National Rate,15.3,24.6,60
14205,10.6,No Different than U.S. National Rate,8.1,13.8,185,18.7,No Different than U.S. National Rate,15.5,22.4,191
14206,14.5,No Different than U.S. National Rate,10.6,19.5,88,19.9,No Different than U.S. National Rate,15.8,24.4,87
14207,13.1,No Different than U.S. National Rate,9.3,17.9,69,18.1,No Different than U.S. National Rate,14.3,22.8,74
14208,14.1,No Different than U.S. National Rate,10.5,18.6,102,19.3,No Different than U.S. National Rate,15.5,23.4,113
14209,10.7,No Different than U.S. National Rate,7.7,14.5,156,18.6,No Different than U.S. National Rate,14.9,22.8,153
14210,11.3,No Different than U.S. National Rate,8.1,15.9,91,19.9,No Different than U.S. National Rate,15.8,24.6,96
14211,11.4,No Different than U.S. National Rate,7.6,16.7,30,17.2,No Different than U.S. National Rate,13.3,22.2,34
14212,13.4,No Different than U.S. National Rate,9.3,18.9,54,18.7,No Different than U.S. National Rate,14.7,23.9,52
14213,13.1,No Different than U.S. National Rate,9.9,17.1,151,17.8,No Different than U.S. National Rate,14.4,21.7,155
14214,11,No Different than U.S. National Rate,7.7,15.6,88,18.8,No Different than U.S. National Rate,14.9,23.5,85
14215,13,No Different than U.S. National Rate,9.6,17.5,121,20.9,No Different than U.S. National Rate,16.6,25.8,120
14216,12.9,No Different than U.S. National Rate,9.6,17.1,91,18.8,No Different than U.S. National Rate,15.1,23.5,95
14217,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14218,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14219,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14220,13.9,No Different than U.S. National Rate,10.7,17.5,229,14.1,Better than U.S. National Rate,11.5,17.8,257
14221,12.2,No Different than U.S. National Rate,8.4,17,51,18.4,No Different than U.S. National Rate,14.5,23.3,57
14222,13.3,No Different than U.S. National Rate,10.3,17.1,274,15.2,No Different than U.S. National Rate,12.5,18.7,300
14223,13.5,No Different than U.S. National Rate,10.3,17.5,160,16.1,No Different than U.S. National Rate,13,19.8,164
14224,9.9,No Different than U.S. National Rate,7.1,13.6,115,17.5,No Different than U.S. National Rate,14,21.9,134
14225,14.7,No Different than U.S. National Rate,10.8,20,122,16.9,No Different than U.S. National Rate,13.4,21.1,125
14226,9.9,No Different than U.S. National Rate,7.3,13.3,161,16.7,No Different than U.S. National Rate,13.5,20.4,187
14227,12.9,No Different than U.S. National Rate,9.6,16.8,194,16.7,No Different than U.S. National Rate,13.7,20.3,229
14228,15.7,No Different than U.S. National Rate,12,20.5,130,14.7,No Different than U.S. National Rate,11.7,18.6,136
14229,11.3,No Different than U.S. National Rate,8.1,15.7,147,17.6,No Different than U.S. National Rate,14.3,21.7,161
14230,12.6,No Different than U.S. National Rate,9,17.2,101,15.2,No Different than U.S. National Rate,12,19.3,105
14231,10.6,No Different than U.S. National Rate,7.5,14.3,111,16.6,No Different than U.S. National Rate,13.1,20.7,113
14232,12.1,No Different than U.S. National Rate,8,17.9,30,18.7,No Different than U.S. National Rate,14.3,24.1,32
14233,13.7,No Different than U.S. National Rate,9.6,19.4,59,18.1,No Different than U.S. National Rate,14.2,23.2,58
14234,11.7,No Different than U.S. National Rate,9.3,14.5,426,17.3,No Different than U.S. National Rate,14.6,20.4,451
14235,11,No Different than U.S. National Rate,7.9,15.2,106,16.2,No Different than U.S. National Rate,12.7,20.4,114
14236,11,No Different than U.S. National Rate,7.6,15.6,79,16.1,No Different than U.S. National Rate,12.6,20.7,79
14237,15,No Different than U.S. National Rate,11.9,18.8,259,18.7,No Different than U.S. National Rate,15.6,22.4,276
